sku,name,brand,category,price,sale_price,rating,review_count,in_stock,stock_quantity,store_availability,description,display_size,resolution,processor,ram,storage,battery_life,weight,color,model_number,warranty_years
TV-001,OLED C3 65" 4K Smart TV,LG,televisions,1299.99,999.99,4.8,3241,true,47,Best Buy|Target|Amazon,65-inch OLED evo panel with α9 AI Processor Gen6. Dolby Vision IQ and Dolby Atmos. HDMI 2.1 ports support 4K 120Hz gaming. G-Sync and FreeSync Premium Pro compatible. Perfect blacks with self-lit pixels. webOS 23 smart platform with built-in Google Assistant and Alexa.,65,4K OLED,α9 Gen6 AI,,,,,Black,OLED65C3PUA,2
TV-002,QN90C Neo QLED 65" 4K,Samsung,televisions,1799.99,1497.99,4.7,2187,true,23,Best Buy|Amazon,Neo QLED with Quantum Mini LEDs for precise local dimming. 4K 144Hz refresh rate with Anti-Reflection screen coating. Object Tracking Sound+ with 60W output. Gaming Hub with cloud gaming. Tizen OS smart platform.,65,4K QLED,Neural Quantum Processor 4K,,,,,Titan Black,QN65QN90CAFXZA,2
TV-003,X90L 65" 4K BRAVIA XR,Sony,televisions,1399.99,1098.00,4.7,1876,true,31,Best Buy|Target|B&H,BRAVIA XR with Cognitive Processor XR for human-like picture and sound processing. Full Array LED with XR Contrast Booster 10. HDMI 2.1 optimized for PS5. Google TV built-in. Dolby Vision and Atmos support.,65,4K Full Array LED,Cognitive Processor XR,,,,,Black,XR65X90L,2
TV-004,65" QLED 4K Q6 Series,Hisense,televisions,549.99,449.99,4.4,1243,true,62,Best Buy|Target|Walmart,QLED Quantum Dot technology with 60Hz refresh rate. Dolby Vision HDR and DTS Virtual X audio. Google TV smart platform with hands-free voice control. Best value 65-inch QLED for budget-conscious buyers.,65,4K QLED,Hi-View Engine,,,,,Black,65Q68H,1
TV-005,65" U8K Mini-LED ULED,Hisense,televisions,799.99,697.99,4.6,987,true,18,Best Buy|Amazon,Mini-LED with 1500 local dimming zones for superior contrast. 144Hz refresh rate with Dolby Vision and IMAX Enhanced certification. AMD FreeSync Premium for gaming. Google TV smart platform. Punches well above its price class.,65,4K Mini-LED ULED,Hi-View Engine Pro,,,,,Black,65U8K,2
CAM-001,Alpha 7 IV Full-Frame Mirrorless,Sony,cameras,2498.00,,4.9,1432,true,12,Best Buy|B&H|Amazon,33MP BSI-CMOS full-frame sensor with 10fps continuous burst shooting. 4K60 video with S-Cinetone color science. 5-axis in-body image stabilization. 759-point hybrid autofocus with real-time tracking. Dual card slots and weather-sealed magnesium alloy body.,,,,,,,657g,Black,ILCE7M4/B,2
CAM-002,EOS R6 Mark II Full-Frame,Canon,cameras,2499.00,2299.00,4.8,987,true,8,Best Buy|B&H,40MP full-frame CMOS with DIGIC X processor. Up to 40fps electronic shutter burst. 4K60 RAW video recording. Subject detection AF for people animals and vehicles. Weather sealed body with dual card slots.,,,,,,,588g,Black,5666C002,2
CAM-003,X100VI Compact Fixed Lens,Fujifilm,cameras,1599.99,,4.9,743,false,0,B&H|Amazon,40MP X-Trans CMOS 5 HR sensor with 6.2K video capability. In-body image stabilization with 6-stop compensation. Classic 23mm f/2 fixed lens. Iconic film simulations including Provia and Velvia. Built-in 3-stop variable ND filter. Most coveted camera of 2024.,,,,,,,521g,Black,16821822,1
CAM-004,Z5 II Full-Frame Mirrorless,Nikon,cameras,1699.99,1499.00,4.7,612,true,15,Best Buy|B&H|Amazon,24.5MP BSI-CMOS sensor with EXPEED 7 processor. 14fps burst with pre-release capture. 4K60 video with N-Log. In-body stabilization. Subject detection AF. Dual card slots. Weather sealed. Best entry-level full-frame mirrorless.,,,,,,,700g,Black,VOA110AM,2
CAM-005,OM-5 Micro Four Thirds,OM System,cameras,999.99,799.99,4.6,521,true,22,Best Buy|Amazon,20.4MP Live MOS sensor. IP53 weather splash and dustproof rated. Cold proof to -10 degrees Celsius. 5-axis 7.5EV image stabilization. 4K60 video. Handheld high-resolution shot mode produces 80MP images. Most rugged compact system camera.,,,,,,,414g,Black,V207075BU000,2
VAC-001,Dyson V15 Detect Absolute,Dyson,vacuums,749.99,649.99,4.8,4231,true,34,Best Buy|Target|Amazon,Laser Detect technology illuminates microscopic dust on hard floors. Whole-machine HEPA filtration captures 99.99% of particles. 60-minute runtime on lowest setting. LCD screen shows real-time particle count. Hair Screw tool prevents tangles and clogs.,,,,,,,3.09kg,Yellow/Nickel,447925-01,2
VAC-002,Roomba j9+ Self-Emptying Robot,iRobot,vacuums,899.99,699.99,4.7,2876,true,41,Best Buy|Target|Amazon,Smart mapping with 3D obstacle avoidance navigation. Auto-empty base holds 60 days of dirt. PrecisionVision navigation avoids pet waste cables and socks. Works with Alexa and Google Assistant. Schedules and customizes cleaning by room.,,,,,,,4.44kg,Graphite,J955020,2
VAC-003,Shark Stratos Robot Vacuum,Shark,vacuums,599.99,449.99,4.5,1987,true,56,Best Buy|Target|Walmart,D-shape design reaches corners other robots miss. HEXA Force suction technology. HEPA filter captures 99.97% of dust and allergens. Auto-empty base. Advanced AI home mapping. Wi-Fi connected with app control.,,,,,,,4.1kg,Black,AV2511WD,2
VAC-004,PowerSpeed Bagless Upright,Bissell,vacuums,89.99,69.99,4.3,3421,true,127,Best Buy|Target|Walmart,Multi-cyclone filtration system with washable filter. 12-amp motor for powerful deep cleaning. Scatter-free technology prevents debris from scattering on hard floors. Large 1.8L dirt tank. Swivel steering maneuvers around furniture.,,,,,,,5.4kg,Blue/Black,2763,1
VAC-005,Floor One S5 Cordless Wet-Dry,Tineco,vacuums,349.99,299.99,4.6,1654,true,43,Best Buy|Amazon,iLoop smart sensor automatically adjusts suction power based on dirt level. Vacuums and washes floors simultaneously. 40-minute runtime. Self-cleaning cycle prevents odors. LED display shows suction power and battery life.,,,,,,,2.8kg,Blue/Silver,FLS05,2
LAP-001,MacBook Pro 14-inch M3 Pro,Apple,laptops,1999.00,,4.9,2341,true,19,Best Buy|Target|Amazon,M3 Pro chip with 12-core CPU and 18-core GPU. 18GB unified memory with 512GB SSD. Liquid Retina XDR ProMotion display. 22-hour battery life. MagSafe 3 charging and three Thunderbolt 4 ports. Best laptop for ML engineers and developers.,14.2,3024x1964 Liquid Retina XDR,Apple M3 Pro,18GB,512GB SSD,22hrs,1.61kg,Space Black,MRX33LL/A,1
LAP-002,XPS 15 9530 OLED Touch,Dell,laptops,1799.99,1599.99,4.6,1543,true,24,Best Buy|Amazon,Intel Core i7-13700H with NVIDIA RTX 4060 8GB GPU. 15.6-inch 3.5K OLED touch display. 32GB DDR5 RAM with 1TB NVMe SSD. Thunderbolt 4 and USB-A ports. Best Windows laptop for video editors and creatives.,15.6,3456x2160 OLED,Intel Core i7-13700H,32GB DDR5,1TB NVMe SSD,13hrs,1.86kg,Platinum Silver,XPS9530-7714SLV-PUS,1
